id,category,question,answer
363,integrations,Where do I troubleshoot Drift sync errors?,Settings → Integrations → Drift → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Drift side.
364,integrations,How do I connect Marketo to Bellrock CRM?,Go to Settings → Integrations → Marketo → Connect. Sign in with an admin account on Marketo and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
365,use_cases,How do RevOps leaders in real estate use Bellrock CRM?,"Revops leaders at real estate companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. real estate-specific pipeline templates ship in the marketplace."
366,use_cases,Is Bellrock CRM a good fit for non-profits customer success teams?,"Bellrock CRM is widely used by customer success teams in non-profits. Common reasons cited are the non-profits field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
367,use_cases,Is Bellrock CRM a good fit for manufacturing sales reps?,"Bellrock CRM is widely used by sales reps in manufacturing. Common reasons cited are the manufacturing field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
368,features,Is contact enrichment available on the free trial?,Contact Enrichment is available during the 14-day Growth-tier trial. Starter plans do not include it.
369,api,Are there webhooks for /reports events?,"Yes — every create, update and delete on /reports can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
370,use_cases,Can you share a customer story for automotive sales reps?,"Several automotive customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/automotive."
371,troubleshooting,Why am I getting 'report shows wrong totals'?,"If you're hitting 'report shows wrong totals', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
372,use_cases,Is Bellrock CRM a good fit for real estate RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in real estate. Common reasons cited are the real estate field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
373,use_cases,How do sales reps in healthcare use Bellrock CRM?,"Sales reps at healthcare companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. healthcare-specific pipeline templates ship in the marketplace."
374,integrations,What syncs between Bellrock CRM and Microsoft Teams?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Microsoft Teams. Conflict resolution defaults to last-write-wins, configurable per object."
375,integrations,Does Bellrock CRM integrate with Make?,Yes. The Make integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
376,troubleshooting,I'm seeing 'two-way sync conflict' — what should I do?,"If you're hitting 'two-way sync conflict', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
377,features,Is custom dashboards available on the free trial?,Custom Dashboards is available during the 14-day Growth-tier trial. Starter plans do not include it.
378,api,How do I authenticate to /products?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /products accepts both.
379,security,Are penetration tests run regularly?,"Yes — third-party penetration tests run twice yearly, plus an internal red-team exercise annually. Executive summaries are shareable under NDA."
